Party,Won,Leading,Total,Link
Bharatiya Janata Party - BJP,240,0,240,partywisewinresultState-369.htm
Indian National Congress - INC,99,0,99,partywisewinresultState-742.htm
Samajwadi Party - SP,37,0,37,partywisewinresultState-1680.htm
All India Trinamool Congress - AITC,29,0,29,partywisewinresultState-140.htm
Dravida Munnetra Kazhagam - DMK,22,0,22,partywisewinresultState-582.htm
Telugu Desam - TDP,16,0,16,partywisewinresultState-1745.htm
Janata Dal  (United) - JD(U),12,0,12,partywisewinresultState-805.htm
Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,9,0,9,partywisewinresultState-3369.htm
Nationalist Congress Party – Sharadchandra Pawar - NCPSP,8,0,8,partywisewinresultState-3620.htm
Shiv Sena - SHS,7,0,7,partywisewinresultState-3529.htm
Lok Janshakti Party(Ram Vilas) - LJPRV,5,0,5,partywisewinresultState-3165.htm
Yuvajana Sramika Rythu Congress Party - YSRCP,4,0,4,partywisewinresultState-1888.htm
Rashtriya Janata Dal - RJD,4,0,4,partywisewinresultState-1420.htm
Communist Party of India  (Marxist) - CPI(M),4,0,4,partywisewinresultState-547.htm
Indian Union Muslim League - IUML,3,0,3,partywisewinresultState-772.htm
Aam Aadmi Party - AAAP,3,0,3,partywisewinresultState-1.htm
Jharkhand Mukti Morcha - JMM,3,0,3,partywisewinresultState-852.htm
Janasena Party - JnP,2,0,2,partywisewinresultState-860.htm
Communist Party of India  (Marxist-Leninist)  (Liberation) - CPI(ML)(L),2,0,2,partywisewinresultState-545.htm
Janata Dal  (Secular) - JD(S),2,0,2,partywisewinresultState-804.htm
Viduthalai Chiruthaigal Katchi - VCK,2,0,2,partywisewinresultState-1847.htm
Communist Party of India - CPI,2,0,2,partywisewinresultState-544.htm
Rashtriya Lok Dal - RLD,2,0,2,partywisewinresultState-1458.htm
Jammu & Kashmir National Conference - JKN,2,0,2,partywisewinresultState-834.htm
"United People’s Party, Liberal - UPPL",1,0,1,partywisewinresultState-1998.htm
Asom Gana Parishad - AGP,1,0,1,partywisewinresultState-83.htm
Hindustani Awam Morcha (Secular) - HAMS,1,0,1,partywisewinresultState-664.htm
Kerala Congress - KEC,1,0,1,partywisewinresultState-911.htm
Revolutionary Socialist Party - RSP,1,0,1,partywisewinresultState-1534.htm
Nationalist Congress Party - NCP,1,0,1,partywisewinresultState-1142.htm
Voice of the People Party - VOTPP,1,0,1,partywisewinresultState-3388.htm
Zoram People’s Movement - ZPM,1,0,1,partywisewinresultState-2757.htm
Shiromani Akali Dal - SAD,1,0,1,partywisewinresultState-1584.htm
Rashtriya Loktantrik Party - RLTP,1,0,1,partywisewinresultState-2484.htm
Bharat Adivasi Party - BHRTADVSIP,1,0,1,partywisewinresultState-3482.htm
Sikkim Krantikari Morcha - SKM,1,0,1,partywisewinresultState-1658.htm
Marumalarchi Dravida Munnetra Kazhagam - MDMK,1,0,1,partywisewinresultState-1046.htm
Aazad Samaj Party (Kanshi Ram) - ASPKR,1,0,1,partywisewinresultState-2989.htm
Apna Dal (Soneylal) - ADAL,1,0,1,partywisewinresultState-2070.htm
AJSU Party - AJSUP,1,0,1,partywisewinresultState-160.htm
All India Majlis-E-Ittehadul Muslimeen - AIMIM,1,0,1,partywisewinresultState-118.htm
Independent - IND,7,0,7,partywisewinresultState-743.htm
